COURSE_CODE	PREREQ_STRING	TOKENS	STATUS
FSAD 4990	minimum GPA of 3.3.	COURSE(Special requirement: minimum GPA of 3.3)	OK (manually corrected)
GDEV 3010	development sociology or sociology course.	COURSE(Special requirement: development sociology) OR COURSE(Special requirement: sociology course)	OK
GDEV 3105	IARD and GDEV majors: GDEV 2105 and pre-departure portfolio, or GDEV 3104; CALS Global Fellows: ALS 2300.	COURSE(GDEV 2105) OR COURSE(GDEV 3104) OR COURSE(ALS 2300)	OK (manually corrected)
GDEV 3280	Recommended prerequisite: at least one of the following GDEV 2200, HD 1150, HD 1170, HD 2180, PUBPOL 2030, PUBPOL 2100, PUBPOL 2208, PUBPOL 2300, PUBPOL 2350, PSYCH 1101, SOC 1101.	COURSE(GDEV 2200) OR COURSE(HD 1150) OR COURSE(HD 1170) OR COURSE(HD 2180) OR COURSE(PUBPOL 2030) OR COURSE(PUBPOL 2100) OR COURSE(PUBPOL 2208) OR COURSE(PUBPOL 2300) OR COURSE(PUBPOL 2350) OR COURSE(PSYCH 1101) OR COURSE(SOC 1101)	OK (manually corrected)
GDEV 4080	PUBPOL 2030.	COURSE(PUBPOL 2030)	OK (manually corrected)
GDEV 4190	statistics course or permission of instructor.	LPAREN COURSE(Special requirement: statistics course) RPAREN OR COURSE(Permission: permission of instructor)	OK
GDEV 4980	previous enrollment in the course to be taught, or other appropriate previous training and experience.	COURSE(Special requirement: previous enrollment in course to be taught or appropriate training)	OK (manually corrected)
GERST 1220	GERST 1210 or based on German Placement test result.	COURSE(GERST 1210) OR COURSE(Special requirement: based on German Placement test result)	OK
GERST 1230	Limited to students who have previously studied German and based on German Placement test result.	COURSE(Special requirement: Limited to students who have previously studied German) AND COURSE(Special requirement: based on German Placement test result)	OK
GERST 2000	GERST 1220 and placement result, GERST 1230, or placement by examination.	COURSE(GERST 1220) OR COURSE(GERST 1230) OR COURSE(Special requirement: placement by examination)	OK (manually corrected)
GERST 2020	GERST 2000 or equivalent, or placement by examination.nStudents must take one of the following courses as a prerequisite for Study Abroad in a German-speaking country: GERST 2020, GERST 2040, or GERST 2060.  nThis course counts toward the German Studies Minor.	COURSE(GERST 2000)	OK (manually corrected)
GERST 2040	GERST 2000 or equivalent, or placement by examination.nStudents must take one of the following courses as a prerequisite for Study Abroad in a German-speaking country: GERST 2020, GERST 2040, or GERST 2060.  nThis course counts toward the German Studies Minor.	COURSE(GERST 2000)	OK (manually corrected)
GERST 3025	one German course at the 2010-2499 level or equivalent. This course may be counted towards the requirement for 3000-3209 level language in the major and minor.	COURSE(Special requirement: one German course at the 2010-2499 level)	OK
GERST 3350	one course at the GERST 3000-3209 level or equivalent, or placement by examination.	COURSE(Special: one course at GERST 3000 level)	OK (manually corrected)
GERST 4100	any German course at the 3210-3499-level or equivalent.	COURSE(Special requirement: any German course at the 3210-3499-level)	OK
GERST 4540	GERST 4530.	COURSE(GERST 4530)	OK
GOVT 4949	acceptance into honors program.	COURSE(Special requirement: acceptance into honors program)	OK
GREEK 1105	GREEK 1104.	COURSE(GREEK 1104)	OK
GREEK 2101	GREEK 1102 or placement by departmental exam.	COURSE(GREEK 1102) OR COURSE(Special requirement: placement by departmental exam)	OK
GREEK 3120	one 2000-level Greek course.	COURSE(Special requirement: one 2000-level Greek course)	OK
GREEK 5115	GREEK 5114, or permission of instructor.	LPAREN COURSE(GREEK 5114) RPAREN OR COURSE(Permission: permission of instructor)	OK
GREEK 5121	GREEK 5112 or placement by departmental exam.	COURSE(GREEK 5112) OR COURSE(Special requirement: placement by departmental exam)	OK
GREEK 5130	GREEK 5121 or GREEK 5123.	COURSE(GREEK 5121) OR COURSE(GREEK 5123)	OK
HADM 2011	HADM 1740 or HADM 2740.	COURSE(HADM 1740) OR COURSE(HADM 2740)	OK
HADM 2021	HADM 2011 or STSCI 2100 or ILRST 2100 or MATH 1710 or AEM 2100.	COURSE(HADM 2011) OR COURSE(STSCI 2100) OR COURSE(ILRST 2100) OR COURSE(MATH 1710) OR COURSE(AEM 2100)	OK
HADM 2210	HADM 1210 or HADM 2230 or AEM 2210.	COURSE(HADM 1210) OR COURSE(HADM 2230) OR COURSE(AEM 2210)	OK
HADM 2220	HADM 1210 or HADM 2230.	COURSE(HADM 1210) OR COURSE(HADM 2230)	OK
HADM 2221	HADM 2220 or HADM 2250 or AEM 2240 or AEM 2241.	COURSE(HADM 2220) OR COURSE(HADM 2250) OR COURSE(AEM 2240) OR COURSE(AEM 2241)	OK
HADM 2250	HADM 2230 and ECON 1110 or equivalent. Recommended prerequsite: STSCI 2100 or equivalent.	COURSE(HADM 2230) AND COURSE(ECON 1110)	OK
HADM 2351	HADM 1361.	COURSE(HADM 1361)	OK
HADM 2430	Prerequisite or corequisite: HADM 1410.	COURSE(HADM 1410)	OK
HADM 2560	Prerequisite or corequisite: HADM 1350.	COURSE(HADM 1350)	OK
HADM 2810	HADM 1150.	COURSE(HADM 1150)	OK
HADM 3170	one semester (200 hours) of employment at the Statler Hotel.	COURSE(Special requirement: one semester/200 hours employment at Statler Hotel)	OK (manually corrected)
HADM 3235	HADM 2250, HADM 2220, AEM 2240, or AEM 2241.	COURSE(HADM 2250) OR COURSE(HADM 2220) OR COURSE(AEM 2240) OR COURSE(AEM 2241)	OK
HADM 3470	HADM 2430, HADM 2410, AEM 2400, AEM 2420, or equivalent.	COURSE(HADM 2430) OR COURSE(HADM 2410) OR COURSE(AEM 2400) OR COURSE(AEM 2420)	OK
HADM 3650	HADM 1150 and HADM 1650.	COURSE(HADM 1150) AND COURSE(HADM 1650)	OK
HADM 3710	HADM 1740 or HADM 2740.	COURSE(HADM 1740) OR COURSE(HADM 2740)	OK
HADM 4050	HADM 2021.	COURSE(HADM 2021)	OK
HADM 4070	HADM 2011, STSCI 2100, ILRST 2100, MATH 1710, or AEM 2100.	COURSE(HADM 2011) OR COURSE(STSCI 2100) OR COURSE(ILRST 2100) OR COURSE(MATH 1710) OR COURSE(AEM 2100)	OK
HADM 4200	HADM 2230 or equivalent, and HADM 2250 or equivalent.	COURSE(HADM 2230) AND COURSE(HADM 2250)	OK
HADM 4205	HADM 2221 or HADM 3210 or HADM 4200 or HADM 6200 or REAL 6200.	COURSE(HADM 2221) OR COURSE(HADM 3210) OR COURSE(HADM 4200) OR COURSE(HADM 6200) OR COURSE(REAL 6200)	OK
HADM 4230	HADM 2221 or HADM 3210 or HADM 4200	COURSE(HADM 2221) OR COURSE(HADM 3210) OR COURSE(HADM 4200)	OK
HADM 4232	HADM 2250, HADM 2220, AEM 2240, or AEM 2241.	COURSE(HADM 2250) OR COURSE(HADM 2220) OR COURSE(AEM 2240) OR COURSE(AEM 2241)	OK
HADM 4250	HADM 2221, HADM 3210 or HADM 4200 or permission of instructor.	LPAREN COURSE(HADM 2221) OR COURSE(HADM 3210) OR COURSE(HADM 4200) RPAREN OR COURSE(Permission: permission of instructor)	OK
HADM 4340	HADM 1361.	COURSE(HADM 1361)	OK
HADM 4360	HADM 4300.	COURSE(HADM 4300)	OK
HADM 4410	HADM 1350, HADM 1410, HADM 1740, HADM 2220, HADM 2430, HADM 2351 or HADM 2250, and HADM 3650.	COURSE(HADM 1350) AND COURSE(HADM 1410) AND COURSE(HADM 1740) AND COURSE(HADM 2220) AND COURSE(HADM 2430) AND LPAREN COURSE(HADM 2351) OR COURSE(HADM 2250) RPAREN	OK (manually corrected)
HADM 4470	HADM 2430, HADM 2410, AEM 2400, or AEM 2420.	COURSE(HADM 2430) OR COURSE(HADM 2410) OR COURSE(AEM 2400) OR COURSE(AEM 2420)	OK
HADM 4510	Prerequisite or corequisite: HADM 2351.	COURSE(HADM 2351)	OK
HADM 4515	HADM 2550 or HADM 2560.	COURSE(HADM 2550) OR COURSE(HADM 2560)	OK
HADM 4870	Recommended prerequisite: HADM 3870.	COURSE(HADM 3870)	OK
HADM 5360	HADM 4300.	COURSE(HADM 4300)	OK
HD 2600	Recommended prerequisite: introductory psychology or human development course.	COURSE(Special requirement: introductory psychology) OR COURSE(Special requirement: human development course)	OK
HD 2830	Recommended prerequisite: HD 1150.	COURSE(HD 1150)	OK
HD 3190	at least one of the following: HD 1130 , PSYCH 1101, or PSYCH 2650.	COURSE(HD 1130) OR COURSE(PSYCH 1101) OR COURSE(PSYCH 2650)	OK
HD 3210	Recommended prerequisite: an introductory course in human development and at least one introductory course in behavioral neuroscience or biological basis of behavior.	COURSE(Special requirement: introductory course in human development or behavioral neuroscience)	OK (manually corrected)
HD 3310	PSYCH 1101 or HD 1130. Recommended prerequisite: HD 2600.	COURSE(PSYCH 1101) OR COURSE(HD 1130)	OK
HD 3700	any one course in psychology or human development.	COURSE(Special requirement: one course in psychology or human development)	OK (manually corrected)
HD 4030	either HD 1150 or PSYCH 1101, and two intermediate-level HD courses, or equivalent courses in psychology or sociology. Students must have taken course and received B+ or higher.	LPAREN COURSE(HD 1150) OR COURSE(PSYCH 1101) RPAREN AND COURSE(Special requirement: two intermediate-level HD/psychology/sociology courses)	OK (manually corrected)
HD 4250	HD 1130 or PSYCH 1101, also HD 2830 and HD 5750 and HD 5760.	LPAREN COURSE(HD 1130) OR COURSE(PSYCH 1101) RPAREN AND COURSE(HD 2830) AND COURSE(HD 5750) AND COURSE(HD 5760)	OK (manually corrected)
HD 4260	HD 1130 or PSYCH 1101 and HD 2600.	LPAREN COURSE(HD 1130) OR COURSE(PSYCH 1101) RPAREN AND COURSE(HD 2600)	OK (manually corrected)
HD 4420	Recommended prerequisite: introductory psychology.	COURSE(Special requirement: introductory psychology)	OK
HD 4670	HD 3300/PSYCH 3310 or HD 3320.	COURSE(HD 3300) OR COURSE(PSYCH 3310) OR COURSE(HD 3320)	OK
HEBRW 1103	one year of Hebrew or permission of instructor.	LPAREN COURSE(Special requirement: one year of Hebrew) RPAREN OR COURSE(Permission: permission of instructor)	OK
HEBRW 3101	HEBRW 2100 with a grade equivalent to C- or above or permission of instructor.	COURSE(HEBRW 2100) OR COURSE(Permission: permission of instructor)	OK (manually corrected)
HEBRW 3103	HEBRW 3102 or permission of instructor.	LPAREN COURSE(HEBRW 3102) RPAREN OR COURSE(Permission: permission of instructor)	OK
HIERO 1452	HIERO 1451 or permission of instructor.	LPAREN COURSE(HIERO 1451) RPAREN OR COURSE(Permission: permission of instructor)	OK
HINDI 2201	HINDI 1102  or permission of instructor.	LPAREN COURSE(HINDI 1102) RPAREN OR COURSE(Permission: permission of instructor)	OK
HINDI 2203	HINDI 1102 or equal level of competency or permission of instructor.	LPAREN COURSE(HINDI 1102) OR COURSE(Special requirement: equal level of competency) RPAREN OR COURSE(Permission: permission of instructor)	OK
HINDI 3301	HINDI 2202 or permission of instructor.	LPAREN COURSE(HINDI 2202) RPAREN OR COURSE(Permission: permission of instructor)	OK
HIST 4001	HIST 4000.	COURSE(HIST 4000)	OK
HIST 4408	one 3000 level course in the humanities; some knowledge of Asian history.	COURSE(Special requirement: one 3000 level course in the humanities) AND COURSE(Special requirement: some knowledge of Asian history)	OK (manually corrected)
HUNGR 1133	HUNGR 1132 or permission of instructor.	LPAREN COURSE(HUNGR 1132) RPAREN OR COURSE(Permission: permission of instructor)	OK
HUNGR 2103	HUNGR 1134 or equivalent.	COURSE(HUNGR 1134)	OK
ILRGL 4029	ILRGL 4027.	COURSE(ILRGL 4027)	OK
ILRHR 5660	ILRHR 5600 and at least one of the following courses: ILRHR 5050, ILRST 5050, or ILRST 5110.	COURSE(ILRHR 5600) AND LPAREN COURSE(ILRHR 5050) OR COURSE(ILRST 5050) OR COURSE(ILRST 5110) RPAREN	OK (manually corrected)
ILRHR 5690	ILRHR 5600 and at least one of the following courses: ILRHR 5050, ILRST 5050, or ILRST 5110.	COURSE(ILRHR 5600) AND LPAREN COURSE(ILRHR 5050) OR COURSE(ILRST 5050) OR COURSE(ILRST 5110) RPAREN	OK (manually corrected)
ILRID 4699	ILRHR 2600 and at least one of the following courses: ILRID 2660, HADM 1740, or HADM 2740.	COURSE(ILRHR 2600) AND LPAREN COURSE(ILRID 2660) OR COURSE(HADM 1740) OR COURSE(HADM 2740) RPAREN	OK (manually corrected)
ILRID 4826	EDUC 2610 or permission of instructor.	LPAREN COURSE(EDUC 2610) RPAREN OR COURSE(Permission: permission of instructor)	OK
ILRLE 2400	ECON 1110 and ECON 1120.	COURSE(ECON 1110) AND COURSE(ECON 1120)	OK
ILRLE 3440	ECON 1110 and ECON 1120.	COURSE(ECON 1110) AND COURSE(ECON 1120)	OK
ILRST 2110	AEM 2100, CRP 1200, ENGRD 2700, HADM 2010, ILRST 2100, MATH 1710, PUBPOL 2100, PUBPOL 2101, PSYCH 2500, SOC 3010, STSCI 2100, or STSCI 2150.	COURSE(AEM 2100) OR COURSE(CRP 1200) OR COURSE(ENGRD 2700) OR COURSE(HADM 2010) OR COURSE(ILRST 2100) OR COURSE(MATH 1710) OR COURSE(PUBPOL 2100) OR COURSE(PUBPOL 2101) OR COURSE(PSYCH 2500) OR COURSE(SOC 3010) OR COURSE(STSCI 2100) OR COURSE(STSCI 2150)	OK (manually corrected)
ILRST 2130	AEM 2100,CRP 1200, ENGRD 2700, HADM 2010, ILRST 2100, MATH 1710, PUBPOL 2100, PUBPOL 2101, PSYCH 2500, SOC 3010, STSCI 2100, or STSCI 2150.	COURSE(AEM 2100) OR COURSE(CRP 1200) OR COURSE(ENGRD 2700) OR COURSE(HADM 2010) OR COURSE(ILRST 2100) OR COURSE(MATH 1710) OR COURSE(PUBPOL 2100) OR COURSE(PUBPOL 2101) OR COURSE(PSYCH 2500) OR COURSE(SOC 3010) OR COURSE(STSCI 2100) OR COURSE(STSCI 2150)	OK (manually corrected)
ILRST 3080	STSCI 2150 or STSCI 2200, MATH 1120 and MATH 2220 or their equivalents.	LPAREN COURSE(STSCI 2150) OR COURSE(STSCI 2200) RPAREN AND COURSE(MATH 1120) AND COURSE(MATH 2220)	OK (manually corrected)
ILRST 3110	MATH 1106 or MATH 1110.	COURSE(MATH 1106) OR COURSE(MATH 1110)	OK
ILRST 3900	STSCI 2100 or PSYCH 2500 or SOC 3010 or ECON 3110 or equivalent.	COURSE(STSCI 2100) OR COURSE(PSYCH 2500) OR COURSE(SOC 3010) OR COURSE(ECON 3110)	OK
ILRST 4110	BTRY 3020, BTRY 6020, or equivalent with BTRY 3080 or MATH 4710 also highly recommended.	COURSE(BTRY 3020) OR COURSE(BTRY 6020)	OK (manually corrected)
ILRST 5110	STSCI 5200, BTRY 6010, ILRST 5100, or BTRY 5010.	COURSE(STSCI 5200) OR COURSE(BTRY 6010) OR COURSE(ILRST 5100) OR COURSE(BTRY 5010)	OK
INDO 2201	INDO 1122 or equivalent.	COURSE(INDO 1122)	OK
INDO 3301	INDO 2202 or equivalent.	COURSE(INDO 2202)	OK
INDO 4401	INDO 3302 or equivalent.	COURSE(INDO 3302)	OK
INFO 2300	INFO 1300 and CS 1110 or CS 1112.	COURSE(INFO 1300) AND LPAREN COURSE(CS 1110) OR COURSE(CS 1112) RPAREN	OK (manually corrected)
INFO 2950	one course is core statistics (MATH 1710 or equivalent) and one course in core programming (CS 1110 or CS 1112) or permission of instructor.	LPAREN COURSE(MATH 1710) OR COURSE(Special requirement: equivalent stats) RPAREN AND LPAREN COURSE(CS 1110) OR COURSE(CS 1112) RPAREN	OK (manually corrected)
INFO 3350	INFO 2950.	COURSE(INFO 2950)	OK
INFO 3900	STSCI 2100 or PSYCH 2500 or SOC 3010 or ECON 3110 or equivalent.	COURSE(STSCI 2100) OR COURSE(PSYCH 2500) OR COURSE(SOC 3010) OR COURSE(ECON 3110)	OK
INFO 3950	INFO 2950 or INFO 2951 or equivalent.	COURSE(INFO 2950) OR COURSE(INFO 2951)	OK
INFO 4320	INFO 2300 or INFO 2310.	COURSE(INFO 2300) OR COURSE(INFO 2310)	OK
INFO 4420	INFO 3450 or equivalent.	COURSE(INFO 3450)	OK
INFO 5230	Prior coursework in ethical thinking, or permission of instructor.	LPAREN COURSE(Special requirement: Prior coursework in ethical thinking) RPAREN OR COURSE(Permission: permission of instructor)	OK
INFO 5235	coursework in ML, data science, law and policy or ethics, calculus and algebra, algorithms, and python programming. Recommended prerequisite: coursework in theory and optimization.	COURSE(Special requirement: coursework in ML/data science/law/policy/ethics) AND COURSE(Special requirement: calculus/algebra/algorithms/python)	OK (manually corrected)
INFO 5306	advanced coursework in Computer Science.	COURSE(Special requirement: advanced coursework in Computer Science)	OK
INFO 5340	intermediate programming ability in C# or other object-oriented lagnuages. Familiarity with 3D game engines or strong desire to learn. Basic linear algebra.	COURSE(Special requirement: intermediate programming in C# or object-oriented language)	OK (manually corrected)
INFO 5345	CS 1110 or equivalent.	COURSE(CS 1110)	OK
INFO 5356	CS 2800 or equivalent.	COURSE(CS 2800)	OK
INFO 5370	Recommended prerequisite: ENGRD 2700, CS 1380, or equivalent, and experience programming in Python. Recommended corequisite: INFO 5430 or CS 5785.	LPAREN COURSE(ENGRD 2700) OR COURSE(CS 1380) RPAREN AND COURSE(Special requirement: experience programming in Python)	OK (manually corrected)
INFO 5430	INFO 5410.	COURSE(INFO 5410)	OK
INFO 5600	basic knowledge of machine learning, deep learning techniques and coding experience.	COURSE(Special requirement: knowledge of ML/deep learning and coding experience)	OK (manually corrected)
INFO 5610	CS 5785 /ECE 5414 /ORIE 5750 or demonstrated foundational programing and machine learning knowledge.	COURSE(CS 5785) OR COURSE(ECE 5414) OR COURSE(ORIE 5750) OR COURSE(Special requirement: foundational programming and ML knowledge)	OK (manually corrected)
INFO 5920	TECHIE 5901.	COURSE(TECHIE 5901)	OK (manually corrected)
ITAL 1120	ITAL 1110 or equivalent.	COURSE(ITAL 1110)	OK
ITAL 2110	ITAL 1120 or equivalent.	COURSE(ITAL 1120)	OK
ITAL 2130	ITAL 2110 or equivalent.	COURSE(ITAL 2110)	OK
ITAL 2201	ITAL 1202, ITAL 1401, LPI score of 49 or higher.	COURSE(ITAL 1202) OR COURSE(ITAL 1401) OR COURSE(Special requirement: LPI score of 49+)	OK (manually corrected)
ITAL 2203	ITAL 2201 or equivalent.	COURSE(ITAL 2201)	OK
ITAL 3730	ITAL 2202 and ITAL 2203.	COURSE(ITAL 2202) AND COURSE(ITAL 2203)	OK
JAPAN 2201	Grade of C+ or higher in JAPAN 1102 or equivalent as determined through placement exam.	COURSE(JAPAN 1102)	OK (manually corrected)
JAPAN 3301	grade of C+ or above in JAPAN 2202 or placement by instructor during registration.	COURSE(JAPAN 2202)	OK (manually corrected)
JAPAN 4401	grade of C+ or above in JAPAN 3302 or placement by instructor during registration.	COURSE(JAPAN 3302)	OK (manually corrected)
JAPAN 4410	reading knowledge of Japanese.	COURSE(Special requirement: reading knowledge of Japanese)	OK
JAPAN 4421	grade of C+ or above in JAPAN 4402 or JAPAN 4421 or placement by instructor.	COURSE(JAPAN 4402) OR COURSE(JAPAN 4421)	OK (manually corrected)
JWST 1103	one year of Hebrew or permission of instructor.	LPAREN COURSE(Special requirement: one year of Hebrew) RPAREN OR COURSE(Permission: permission of instructor)	OK
JWST 3101	HEBRW 2100 with a grade equivalent to C- or above or permission of instructor.	COURSE(HEBRW 2100) OR COURSE(Permission: permission of instructor)	OK (manually corrected)
JWST 3103	HEBRW 3102 or permission of instructor.	LPAREN COURSE(HEBRW 3102) RPAREN OR COURSE(Permission: permission of instructor)	OK
KHMER 2201	KHMER 1122.	COURSE(KHMER 1122)	OK
KHMER 3301	KHMER 2202 or equivalent.	COURSE(KHMER 2202)	OK
KHMER 4401	KHMER 3302.	COURSE(KHMER 3302)	OK
KOREA 1109	online placement test (collt.lrc.cornell.edu/) is required.	COURSE(Special: online placement test)	OK (manually corrected)
KOREA 2201	grade of B- or higher in KOREA 1102 or online placement test (collt.lrc.cornell.edu/).	COURSE(KOREA 1102)	OK (manually corrected)
KOREA 2209	grade of B- or higher in KOREA 1110 or online placement test (collt.lrc.cornell.edu).	COURSE(KOREA 1110)	OK (manually corrected)
KOREA 3301	grade of B- or higher in KOREA 2202 or KOREA 2210, or online placement test (collt.lrc.cornell.edu/).	COURSE(KOREA 2202) OR COURSE(KOREA 2210)	OK (manually corrected)
KOREA 4401	grade of B- or above in KOREA 2202 or KOREA 2210 or online placement required.	COURSE(KOREA 2202) OR COURSE(KOREA 2210)	OK (manually corrected)
LA 3010	LA 2020 with grade of C or better.	COURSE(LA 2020)	OK (manually corrected)
LA 4980	previous enrollment in course to be taught.	COURSE(Special requirement: previous enrollment in course to be taught)	OK
LATA 2170	SPAN 2095, or CASE Q++.	COURSE(SPAN 2095) OR COURSE(Special requirement: CASE Q++)	OK
LATIN 1205	LATIN 1202, LATIN 1204 or placement by departmental exam.	COURSE(LATIN 1202) OR COURSE(LATIN 1204) OR COURSE(Special requirement: placement by departmental exam)	OK
LATIN 2201	LATIN 1202, LATIN 1204, or placement by departmental exam.	COURSE(LATIN 1202) OR COURSE(LATIN 1204) OR COURSE(Special requirement: placement by departmental exam)	OK
LATIN 3203	Two 2000-level Latin courses.	COURSE(Special requirement: Two 2000-level Latin courses)	OK
LATIN 5215	LATIN 5212, LATIN 5214, or placement by departmental exam.	COURSE(LATIN 5212) OR COURSE(LATIN 5214) OR COURSE(Special requirement: placement by departmental exam)	OK
LATIN 5221	LATIN 5212, LATIN 5214, or placement by departmental exam.	COURSE(LATIN 5212) OR COURSE(LATIN 5214) OR COURSE(Special requirement: placement by departmental exam)	OK
LATIN 5233	Two 5220-level Latin courses.	COURSE(Special requirement: Two 5220-level Latin courses)	OK
LAW 4021	ECON 1110 or its equivalent.	COURSE(ECON 1110) OR COURSE(Special requirement: its equivalent)	OK
LEAD 4970	GDEV 3100.	COURSE(GDEV 3100)	OK
LGBT 3990	LGBT 2290 and one additional LGBT Studies course at the 3000-level.	COURSE(LGBT 2290) AND COURSE(Special requirement: one additional LGBT Studies course at the 3000-level)	OK
LING 3303	LING 1101 or permission of instructor.	LPAREN COURSE(LING 1101) RPAREN OR COURSE(Permission: permission of instructor)	OK
LING 3390	LING 1101, and permission of instructor.	COURSE(LING 1101) AND COURSE(Permission: permission of instructor)	OK
LING 4401	LING 3302 [B+ or above] or equivalent, or permission of instructor.	COURSE(LING 3302) OR COURSE(Permission: permission of instructor)	OK (manually corrected)
LING 4403	LING 3303 or permission of instructor.	LPAREN COURSE(LING 3303) RPAREN OR COURSE(Permission: permission of instructor)	OK
LING 4406	ASL 1102 or LING 1101.	COURSE(ASL 1102) OR COURSE(LING 1101)	OK
LING 4411	reading knowledge of Japanese.	COURSE(Special requirement: reading knowledge of Japanese)	OK
LING 4419	LING 3302 [B+ or above] or permission of instructor.	COURSE(LING 3302) OR COURSE(Permission: permission of instructor)	OK (manually corrected)
LING 4421	LING 3303 or permission of instructor.	LPAREN COURSE(LING 3303) RPAREN OR COURSE(Permission: permission of instructor)	OK
LSP 1250	SPAN 1120, SPAN 1220, or LPS 45-55.	COURSE(SPAN 1120) OR COURSE(SPAN 1220) OR COURSE(Special requirement: LPS 45-55)	OK
LSP 2020	LSP 56 or higher, CASE placement.	COURSE(Special requirement: LSP 56+ or CASE placement)	OK (manually corrected)
MAE 2020	PHYS 1112. Corequisite: MATH 1920.	COURSE(PHYS 1112)	OK
MAE 2030	ENGRD 2020 and MATH 2930. Corequisite:  MATH 2940.	COURSE(ENGRD 2020) AND COURSE(MATH 2930)	OK
MAE 2210	MATH 1920 and PHYS 1112.	COURSE(MATH 1920) AND COURSE(PHYS 1112)	OK
MAE 3050	MAE 2030. Prerequisite or corequisite: ENGRD 2210 or BEE 2220, MAE 3230 or CHEME 3230 or BEE 3310 or CEE 3310.	COURSE(MAE 2030)	OK
MAE 3230	ENGRD 2020, MAE 2030. Prerequisite or corequisite: ENGRD 2210.	COURSE(ENGRD 2020) AND COURSE(MAE 2030)	OK
MAE 3260	MATH 2930, MATH 2940, and MAE 2030.	COURSE(MATH 2930) AND COURSE(MATH 2940) AND COURSE(MAE 2030)	OK
MAE 3270	ENGRD 2020, MATH 2940, CS 1112 or CS 1110.	COURSE(ENGRD 2020) AND COURSE(MATH 2940) AND LPAREN COURSE(CS 1112) OR COURSE(CS 1110) RPAREN	OK (manually corrected)
MAE 3870	PHYS 2213, MAE 2030, and MATH 2930.	COURSE(PHYS 2213) AND COURSE(MAE 2030) AND COURSE(MATH 2930)	OK
MAE 4020	MAE 3230 (or equivalent) or MAE 3050, MAE 3270.	LPAREN COURSE(MAE 3230) OR COURSE(MAE 3050) RPAREN AND COURSE(MAE 3270)	OK (manually corrected)
MAE 4021	MAE 3230 (or equivalent) or MAE 3050, MAE 3270.	LPAREN COURSE(MAE 3230) OR COURSE(MAE 3050) RPAREN AND COURSE(MAE 3270)	OK (manually corrected)
MAE 4060	MATH 2930, MATH 2940, and MAE 2030.	COURSE(MATH 2930) AND COURSE(MATH 2940) AND COURSE(MAE 2030)	OK
MAE 4240	ENGRD 2020 or ENGRD 2610.	COURSE(ENGRD 2020) OR COURSE(ENGRD 2610)	OK
MAE 4272	MAE 3230, MAE 3240.	COURSE(MAE 3230) AND COURSE(MAE 3240)	OK
MAE 4291	Prerequisite or corequisite: MAE 4300.	COURSE(MAE 4300)	OK
MAE 4300	Prerequisite or corequisite: M.E. Senior Design.	COURSE(Special requirement: Senior Design)	OK
MAE 4480	BME 3410 or BME 3210 or permission of instructor.	LPAREN COURSE(BME 3410) OR COURSE(BME 3210) RPAREN OR COURSE(Permission: permission of instructor)	OK
MAE 4540	Prerequisite or corequisite: undergraduate-level coursework in thermodynamics, electromagnetism, and orbital mechanics.	COURSE(Special requirement: coursework in thermodynamics/electromagnetism/orbital mechanics)	OK (manually corrected)
MAE 4660	ENGRD 2020, MATH 2930, BIOMG 1350 and BME 2010 or BIOG 1440.	COURSE(ENGRD 2020) AND COURSE(MATH 2930) AND COURSE(BIOMG 1350) AND LPAREN COURSE(BME 2010) OR COURSE(BIOG 1440) RPAREN	OK (manually corrected)
MAE 4730	MATH 2940 or equivalent.	COURSE(MATH 2940)	OK
MAE 4760	CS 1112, CS 2110, CS 2800, MATH 1920, MATH 2940 or their equivalents.	LPAREN COURSE(CS 1112) OR COURSE(CS 2110) RPAREN AND COURSE(CS 2800) AND COURSE(MATH 1920) AND COURSE(MATH 2940)	OK (manually corrected)
MAE 4780	CHEME 3720 or MAE 3260.	COURSE(CHEME 3720) OR COURSE(MAE 3260)	OK
MAE 5020	MAE 3230 (or equivalent) or MAE 3050, MAE 3270.	LPAREN COURSE(MAE 3230) OR COURSE(MAE 3050) RPAREN AND COURSE(MAE 3270)	OK (manually corrected)
MAE 5065	MATH 2930, MATH 2940, and MAE 2030.	COURSE(MATH 2930) AND COURSE(MATH 2940) AND COURSE(MAE 2030)	OK
MAE 5270	equivalent CAD-based design course plus 2.5 years of engineering mathematics, including probability and statistics.	COURSE(Special: CAD-based design course) AND COURSE(Special: engineering mathematics)	OK (manually corrected)
MAE 5310	ENGRD 2210 and MAE 3240.	COURSE(ENGRD 2210) AND COURSE(MAE 3240)	OK
MAE 5540	Prerequisite or corequisite: undergraduate-level coursework in thermodynamics, electromagnetism, and orbital mechanics.	COURSE(Special requirement: coursework in thermodynamics/electromagnetism/orbital mechanics)	OK (manually corrected)
MAE 5730	MATH 2940 or equivalent.	COURSE(MATH 2940)	OK
MAE 5780	CHEME 3720 or MAE 3260.	COURSE(CHEME 3720) OR COURSE(MAE 3260)	OK
MAE 5910	Prerequisite or corequisite: enrollment in group-based project with strong system design component approved by course instructor.	COURSE(Special requirement: enrollment in group-based project with strong system design component approved by course instructor)	OK
MAE 5930	ENGRD 2700 or CEE 3040, SYSEN 5100, or permission of instructor.	LPAREN COURSE(ENGRD 2700) OR COURSE(CEE 3040) OR COURSE(SYSEN 5100) RPAREN OR COURSE(Permission: permission of instructor)	OK
